reference_id,X,Y,Z
(),(mm),(mm),(mm)
102,-2231,-2059.441,2495.745
106,-2496.2,-1962.803,2192.352
201,-2616.1,-1909.522,2197.25
202,-3065.1,-2617.435,2688.095
203,-2339.7,-2772.129,2556.289
1,-2232.5,-2009.589,2467.161
2,-2254.3,-2131.772,2476.795
3,-2359.6,-2716.129,2524.937
4,-2933.6,-1858.063,2623.496
5,-2959.4,-1997.155,2635.175
6,-3064.4,-2582.041,2684.486
7,-2240.3,-1991.514,2413.065
8,-2941.9,-1839.176,2565.872
9,-2473.6,-1837.411,2180.268
10,-2605,-1813.787,2172.053
11,-2831.1,-1763.255,2293.79
