53.0204, 51.4034, -52.3993
54.1302, 52.5005, -108.206
55.1744, 52.737, -162.805
55.3098, 51.8683, -217.869
56.0077, 52.2366, -273.228
56.8082, 52.1311, -327.272
57.4011, 52.753, -382.012
57.8697, 51.4159, -437.128
53.5469, 53.5244, -493.058
54.0508, 53.2255, -547.428
54.9454, 53.6084, -603.006
55.4366, 53.4773, -656.78
55.7882, 53.6724, -714.066
56.1693, 53.0477, -768.019
61.5403, 52.6342, -823.394
61.7151, 53.7591, -879.383
69.579, 108.975, -24.3569
69.2697, 105.74, -80.1017
70.0851, 106.092, -134.155
71.3716, 107.986, -185.995
71.5772, 105.831, -244.544
72.4455, 106.955, -300.777
72.9063, 106.991, -355.167
69.0682, 108.852, -409.367
69.5982, 108.555, -463.884
70.1785, 108.24, -519.072
71.1532, 108.486, -575.356
71.1632, 108.127, -629.684
71.8571, 108.765, -684.327
77.4441, 107.999, -739.05
77.1116, 107.305, -793.254
77.797, 107.475, -849.169
673.743, 58.5073, -12.737
673.75, 59.4795, -67.202
674.715, 58.596, -121.783
674.767, 59.7457, -176.396
675.598, 58.2197, -232.194
676.423, 57.6667, -287.79
677.164, 57.7067, -343.241
682.677, 59.3008, -398.042
682.999, 59.6556, -452.162
683.521, 59.1072, -507.802
684.724, 58.1363, -563.646
684.801, 59.5305, -617.008
685.767, 59.0619, -672.766
681.622, 58.3595, -728.253
681.791, 60.0047, -783.251
682.744, 57.6338, -838.808
