reference_id,x,y,z
(),(mm),(mm),(mm)
-101,751.962,-23.9373,65.4922
-102,734.589,-23.7316,-44.8804
-103,-26.5533,-26.9665,55.0457
-104,-7.1412,-26.8283,-53.4788
-105,260.518,347.792,19.4601
-106,393.029,360.834,20.1906
-1,2.8252,0.0287,-728.668
-2,-3.2024,0.4334,-118.802
-3,-2.7837,-0.0089,0.0279
-4,730.992,0.0214,-0.0628
-5,731.947,2.075,-109.051
-6,738.13,0.5618,-733.418
-7,-3.0453,56.5817,-2.976
-8,729.605,59.0351,41.6795
-9,457.494,351.01,152.224
-10,391.246,362.332,148.668
-11,139.887,290.443,148.947
-201,326.938,344.568,52.5121
-202,760.838,-33.1829,-767.079
-203,-18.0543,-33.2118,-778.852
